date,sales_volume,sales_value,f2f_call,webvirtual_call,webinar,mass_email,email_1to1,comp1,digital_display,digital_video,medscape_banner,out_of_home,symposium,samples_distributed,prescriptions,patient_share,market_access_score,seasonality_factor,trend_factor,base_sales,f2f_call_cost,webvirtual_call_cost,webinar_cost,mass_email_cost,email_1to1_cost,digital_display_cost,digital_video_cost,medscape_banner_cost,out_of_home_cost,symposium_cost,samples_cost,total_promotional_cost,sample_to_script_ratio,rebate_spend,roi
2022-02-01,112,7029,150,500,300,200,1000,2500,1800,1200,0,0,450,320,570.0,8.23,47.5,1.02,6500,,22500,12500,150000,100.0,5000,3600,9600,0,0,2250000,4800,2458100.0,11.228070175438596,351.45000000000005,
2022-03-01,140,10377,160,550,320,220,1050,2600,1900,1300,0,0,480,340,584.0,8.309999999999999,52.5,1.03,7200,,24000,13750,160000,110.0,5250,3800,10400,0,0,2400000,5100,2622410.0,11.643835616438356,518.85,
2022-04-01,134,9312,170,600,340,240,1100,2700,2000,1400,0,0,520,360,596.0,8.379999999999999,49.0,1.04,6800,,25500,15000,170000,120.0,5500,4000,11200,0,0,2600000,5400,2836720.0,12.080536912751676,465.6,
2022-05-01,213,14277,180,650,360,260,1150,2800,2100,1500,0,0,560,380,610.0,8.45,56.00000000000001,1.05,8500,,27000,16250,180000,130.0,5750,4200,12000,0,0,2800000,5700,3051030.0,12.459016393442624,713.85,
2022-06-01,357,20724,190,700,380,280,1200,2900,2200,1600,0,0,600,400,624.0,8.52,59.0,1.06,12000,,28500,17500,190000,140.0,6000,4400,12800,0,0,3000000,6000,3265340.0,12.82051282051282,1036.2,
2022-07-01,532,30918,200,750,400,300,1250,3000,2300,1700,500,0,640,420,638.0,8.59,62.5,1.07,18000,,30000,18750,200000,150.0,6250,4600,13600,1500,0,3200000,6300,3481150.0,13.16614420062696,1545.9,
2022-08-01,606,34050,210,800,420,320,1300,3100,2400,1800,600,0,680,440,652.0,8.66,61.0,1.08,20000,,31500,20000,210000,160.0,6500,4800,14400,1800,0,3400000,6600,3695760.0,13.496932515337424,1702.5,
2022-09-01,526,38067,220,850,440,340,1350,3200,2500,1900,700,0,720,460,666.0,8.73,64.0,1.09,22500,,33000,21250,220000,170.0,6750,5000,15200,2100,0,3600000,6900,3910370.0,13.813813813813814,1903.35,
2022-10-01,629,42180,230,900,460,360,1400,3300,2600,2000,800,0,760,480,680.0,8.8,67.5,1.1,25000,,34500,22500,230000,180.0,7000,5200,16000,2400,0,3800000,7200,4124980.0,14.117647058823527,2109.0,
2022-11-01,656,45384,240,950,480,380,1450,3400,2700,2100,900,0,800,500,694.0,8.870000000000001,66.0,1.11,27000,,36000,23750,240000,190.0,7250,5400,16800,2700,0,4000000,7500,4339590.0,14.40922190201729,2269.2000000000003,
2022-12-01,932,51630,250,1000,500,400,1500,3500,2800,2200,1000,0,840,520,708.0,8.940000000000001,70.0,1.12,30000,,37500,25000,250000,200.0,7500,5600,17600,3000,0,4200000,7800,4554200.0,14.689265536723164,2581.5,
2023-01-01,640,47616,260,1050,520,420,1550,3600,2900,2300,1100,0,880,540,722.0,9.01,57.49999999999999,1.13,28000,,39000,26250,260000,210.0,7750,5800,18400,3300,0,4400000,8100,4768810.0,14.958448753462603,2380.8,
2023-02-01,556,39867,270,1100,540,440,1600,3700,3000,2400,1200,0,920,560,736.0,9.08,49.0,1.14,24000,,40500,27500,270000,220.0,8000,6000,19200,3600,0,4600000,8400,4983420.0,15.217391304347828,1993.35,
2023-03-01,723,42861,280,1150,560,460,1650,3800,3100,2500,1300,0,960,580,750.0,9.15,52.5,1.15,26000,,42000,28750,280000,230.0,8250,6200,20000,3900,0,4800000,8700,5198030.0,15.466666666666669,2143.05,
2023-04-01,809,47427,290,1200,580,480,1700,3900,3200,2600,1400,0,1000,600,764.0,9.22,56.00000000000001,1.16,29000,,43500,30000,290000,240.0,8500,6400,20800,4200,0,5000000,9000,5412640.0,15.706806282722512,2371.35,
2023-05-01,880,51633,300,1250,600,500,1750,4000,3300,2700,1500,0,1040,620,778.0,9.29,59.0,1.17,31500,,45000,31250,300000,250.0,8750,6600,21600,4500,0,5200000,9300,5627250.0,15.938303341902314,2581.65,
2023-06-01,859,52458,310,1300,620,520,1800,4100,3400,2800,1600,0,1080,640,792.0,9.36,60.0,1.18,32000,,46500,32500,310000,260.0,9000,6800,22400,4800,0,5400000,9600,5841860.0,16.161616161616163,2622.9,
2023-07-01,831,54441,320,1350,640,540,1850,4200,3500,2900,1700,0,1120,660,806.0,9.43,62.5,1.19,33500,,48000,33750,320000,270.0,9250,7000,23200,5100,0,5600000,9900,6056470.0,16.377171215880896,2722.05,
2023-08-01,917,58362,330,1400,660,560,1900,4300,3600,3000,1800,0,1160,680,820.0,9.5,65.0,1.2,36000,,49500,35000,330000,280.0,9500,7200,24000,5400,0,5800000,10200,6271080.0,16.585365853658537,2918.1000000000004,
2023-09-01,963,58554,340,1450,680,580,1950,4400,3700,3100,1900,0,1200,700,834.0,9.57,64.0,1.21,36500,,51000,36250,340000,290.0,9750,7400,24800,5700,0,6000000,10500,6485690.0,16.786570743405274,2927.7000000000003,
2023-10-01,986,66273,350,1500,700,600,2000,4500,3800,3200,2000,0,1240,720,848.0,9.64,67.5,1.22,41000,,52500,37500,350000,300.0,10000,7600,25600,6000,0,6200000,10800,6700300.0,16.9811320754717,3313.65,
2023-11-01,1195,69056,360,1550,720,620,2050,4600,3900,3300,2100,0,1280,740,862.0,9.71,69.0,1.23,43000,,54000,38750,360000,310.0,10250,7800,26400,6300,0,6400000,11100,6914910.0,17.16937354988399,3452.8,
2023-12-01,1203,73178,370,1600,740,640,2100,4700,4000,3400,2200,0,1320,760,876.0,9.78,71.0,1.24,45500,,55500,40000,370000,320.0,10500,8000,27200,6600,0,6600000,11400,7129520.0,17.35159817351598,3658.9,
2024-01-01,1172,73073,380,1650,760,660,2150,4800,4100,3500,2300,0,1360,780,890.0,9.85,70.0,1.25,45500,,57000,41250,380000,330.0,10750,8200,28000,6900,0,6800000,11700,7344130.0,17.528089887640448,3653.65,
2024-02-01,1170,75000,390,1700,780,680,2200,4900,4200,3600,2400,0,1400,800,904.0,9.92,71.5,1.26,46500,,58500,42500,390000,340.0,11000,8400,28800,7200,0,7000000,12000,7558740.0,17.699115044247787,3750.0,
2024-03-01,1103,78000,400,1750,800,700,2250,5000,4300,3700,2500,0,1440,820,918.0,9.99,73.0,1.27,48500,,60000,43750,400000,350.0,11250,8600,29600,7500,0,7200000,12300,7773350.0,17.864923747276688,3900.0,
2024-04-01,1373,81000,410,1800,820,720,2300,5100,4400,3800,2600,0,1480,840,932.0,10.06,74.5,1.28,50500,,61500,45000,410000,360.0,11500,8800,30400,7800,0,7400000,12600,7987960.0,18.025751072961373,4050.0,
2024-05-01,1287,84000,420,1850,840,740,2350,5200,4500,3900,2700,0,1520,860,946.0,10.13,76.0,1.29,52500,,63000,46250,420000,370.0,11750,9000,31200,8100,0,7600000,12900,8202570.0,18.181818181818183,4200.0,
2024-06-01,1301,87000,430,1900,860,760,2400,5300,4600,4000,2800,0,1560,880,960.0,10.2,77.5,1.3,54500,,64500,47500,430000,380.0,12000,9200,32000,8400,0,7800000,13200,8417180.0,18.33333333333333,4350.0,
2024-07-01,1609,90000,440,1950,880,780,2450,5400,4700,4100,2900,0,1600,900,974.0,10.27,79.0,1.31,56500,,66000,48750,440000,390.0,12250,9400,32800,8700,0,8000000,13500,8631790.0,18.480492813141684,4500.0,
2024-08-01,1385,93000,450,2000,900,800,2500,5500,4800,4200,3000,0,1640,920,988.0,10.34,80.5,1.32,58500,,67500,50000,450000,400.0,12500,9600,33600,9000,0,8200000,13800,8846400.0,18.62348178137652,4650.0,
2024-09-01,1644,96000,460,2050,920,820,2550,5600,4900,4300,3100,0,1680,940,1002.0,10.41,82.0,1.33,60500,,69000,51250,460000,410.0,12750,9800,34400,9300,0,8400000,14100,9061010.0,18.7624750499002,4800.0,
2024-10-01,1758,99000,470,2100,940,840,2600,5700,5000,4400,3200,0,1720,960,1016.0,10.48,83.5,1.34,62500,,70500,52500,470000,420.0,13000,10000,35200,9600,0,8600000,14400,9275620.0,18.8976377952756,4950.0,
2024-11-01,1379,102000,480,2150,960,860,2650,5800,5100,4500,3300,0,1760,980,1030.0,10.55,85.0,1.35,64500,,72000,53750,480000,430.0,13250,10200,36000,9900,0,8800000,14700,9490230.0,19.02912621359223,5100.0,
2024-12-01,1413,105000,490,2200,980,880,2700,5900,5200,4600,3400,0,1800,1000,1044.0,10.62,86.5,1.36,66500,,73500,55000,490000,440.0,13500,10400,36800,10200,0,9000000,15000,9704840.0,19.15708812260536,5250.0,
2025-01-01,1518,108000,500,2250,1000,900,2750,6000,5300,4700,3500,0,1840,1020,1058.0,10.69,88.0,1.37,68500,,75000,56250,500000,450.0,13750,10600,37600,10500,0,9200000,15300,9919450.0,19.28166351606805,5400.0,
2025-02-01,1817,111000,510,2300,1020,920,2800,6100,5400,4800,3600,0,1880,1040,1072.0,10.76,89.5,1.38,70500,,76500,57500,510000,460.0,14000,10800,38400,10800,0,9400000,15600,10134060.0,19.402985074626866,5550.0,
2025-03-01,2002,114000,520,2350,1040,940,2850,6200,5500,4900,3700,0,1920,1060,1086.0,10.83,91.0,1.39,72500,,78000,58750,520000,470.0,14250,11000,39200,11100,0,9600000,15900,10348670.0,19.521178637200737,5700.0,
2025-04-01,1703,117000,530,2400,1060,960,2900,6300,5600,5000,3800,0,1960,1080,1100.0,10.9,92.5,1.4,74500,,79500,60000,530000,480.0,14500,11200,40000,11400,0,9800000,16200,10563280.0,19.63636363636364,5850.0,
2025-05-01,1881,120000,540,2450,1080,980,2950,6400,5700,5100,3900,0,2000,1100,1114.0,10.97,94.0,1.41,76500,,81000,61250,540000,490.0,14750,11400,40800,11700,0,10000000,16500,10777890.0,19.748653500897664,6000.0,
2025-06-01,2141,123000,550,2500,1100,1000,3000,6500,5800,5200,4000,0,2040,1120,1128.0,11.04,95.5,1.42,78500,,82500,62500,550000,500.0,15000,11600,41600,12000,0,10200000,16800,10992500.0,19.8581560283688,6150.0,
2025-07-01,1941,126000,560,2550,1120,1020,3050,6600,5900,5300,4100,0,2080,1140,1142.0,11.11,97.0,1.43,80500,,84000,63750,560000,510.0,15250,11800,42400,12300,0,10400000,17100,11207110.0,19.96497373029772,6300.0,
2025-08-01,2316,129000,570,2600,1140,1040,3100,6700,6000,5400,4200,0,2120,1160,1156.0,11.18,98.5,1.44,82500,,85500,65000,570000,520.0,15500,12000,43200,12600,0,10600000,17400,11421720.0,20.06920415224913,6450.0,
