date,region,sub_brand,variable,value
2023-01-01,national,dovato,clm_call,2346
2023-02-01,national,dovato,clm_call,2624
2023-03-01,national,dovato,clm_call,2373
2023-04-01,national,dovato,clm_call,2619
2023-05-01,national,dovato,clm_call,2986
2023-06-01,national,dovato,clm_call,2588
2023-07-01,national,dovato,clm_call,2657
2023-08-01,national,dovato,clm_call,2427
2023-09-01,national,dovato,clm_call,2506
2023-10-01,national,dovato,clm_call,2681
2023-11-01,national,dovato,clm_call,2570
2023-12-01,national,dovato,clm_call,2772
2024-01-01,national,dovato,clm_call,2959
2024-02-01,national,dovato,clm_call,2239
2024-03-01,national,dovato,clm_call,2262
2024-04-01,national,dovato,clm_call,2331
2024-05-01,national,dovato,clm_call,20
2024-06-01,national,dovato,clm_call,20
2024-07-01,national,dovato,clm_call,18
2024-08-01,national,dovato,clm_call,99
2024-09-01,national,dovato,clm_call,79
2024-10-01,national,dovato,clm_call,2709
2024-11-01,national,dovato,clm_call,1981
2024-12-01,national,dovato,clm_call,2170
2025-01-01,national,dovato,clm_call,2908
2025-02-01,national,dovato,clm_call,1980
2025-03-01,national,dovato,clm_call,2566
2025-04-01,national,dovato,clm_call,1713
2025-05-01,national,dovato,clm_call,2623
2025-06-01,national,dovato,clm_call,1976
2025-07-01,national,dovato,clm_call,2831
2025-08-01,national,dovato,clm_call,2489
2025-09-01,national,dovato,clm_call,1801
2023-01-01,national,dovato,comp1,55
2023-02-01,national,dovato,comp1,56
2023-03-01,national,dovato,comp1,54
2023-04-01,national,dovato,comp1,51
2023-05-01,national,dovato,comp1,58
2023-06-01,national,dovato,comp1,52
2023-07-01,national,dovato,comp1,50
2023-08-01,national,dovato,comp1,51
2023-09-01,national,dovato,comp1,59
2023-10-01,national,dovato,comp1,56
2023-11-01,national,dovato,comp1,52
2023-12-01,national,dovato,comp1,51
2024-01-01,national,dovato,comp1,52
2024-02-01,national,dovato,comp1,55
2024-03-01,national,dovato,comp1,51
2024-04-01,national,dovato,comp1,54
2024-05-01,national,dovato,comp1,59
2024-06-01,national,dovato,comp1,57
2024-07-01,national,dovato,comp1,52
2024-08-01,national,dovato,comp1,53
2024-09-01,national,dovato,comp1,58
2024-10-01,national,dovato,comp1,56
2024-11-01,national,dovato,comp1,52
2024-12-01,national,dovato,comp1,58
2025-01-01,national,dovato,comp1,45
2025-02-01,national,dovato,comp1,59
2025-03-01,national,dovato,comp1,60
2025-04-01,national,dovato,comp1,60
2025-05-01,national,dovato,comp1,46
2025-06-01,national,dovato,comp1,54
2025-07-01,national,dovato,comp1,41
2025-08-01,national,dovato,comp1,50
2025-09-01,national,dovato,comp1,49
2023-01-01,national,dovato,email_1to1,701
2023-02-01,national,dovato,email_1to1,733
2023-03-01,national,dovato,email_1to1,828
2023-04-01,national,dovato,email_1to1,611
2023-05-01,national,dovato,email_1to1,837
2023-06-01,national,dovato,email_1to1,634
2023-07-01,national,dovato,email_1to1,572
2023-08-01,national,dovato,email_1to1,523
2023-09-01,national,dovato,email_1to1,630
2023-10-01,national,dovato,email_1to1,529
2023-11-01,national,dovato,email_1to1,893
2023-12-01,national,dovato,email_1to1,683
2024-01-01,national,dovato,email_1to1,596
2024-02-01,national,dovato,email_1to1,816
2024-03-01,national,dovato,email_1to1,800
2024-04-01,national,dovato,email_1to1,516
2024-05-01,national,dovato,email_1to1,556
2024-06-01,national,dovato,email_1to1,675
2024-07-01,national,dovato,email_1to1,824
2024-08-01,national,dovato,email_1to1,795
2024-09-01,national,dovato,email_1to1,836
2024-10-01,national,dovato,email_1to1,645
2024-11-01,national,dovato,email_1to1,660
2024-12-01,national,dovato,email_1to1,405
2025-01-01,national,dovato,email_1to1,696
2025-02-01,national,dovato,email_1to1,689
2025-03-01,national,dovato,email_1to1,689
2025-04-01,national,dovato,email_1to1,673
2025-05-01,national,dovato,email_1to1,681
2025-06-01,national,dovato,email_1to1,502
2025-07-01,national,dovato,email_1to1,933
2025-08-01,national,dovato,email_1to1,932
2025-09-01,national,dovato,email_1to1,845
2023-01-01,national,dovato,ex_1,0
2023-02-01,national,dovato,ex_1,0
2023-03-01,national,dovato,ex_1,0
2023-04-01,national,dovato,ex_1,0
2023-05-01,national,dovato,ex_1,1
2023-06-01,national,dovato,ex_1,0
2023-07-01,national,dovato,ex_1,0
2023-08-01,national,dovato,ex_1,0
2023-09-01,national,dovato,ex_1,0
2023-10-01,national,dovato,ex_1,0
2023-11-01,national,dovato,ex_1,0
2023-12-01,national,dovato,ex_1,0
2024-01-01,national,dovato,ex_1,0
2024-02-01,national,dovato,ex_1,0
2024-03-01,national,dovato,ex_1,0
2024-04-01,national,dovato,ex_1,1
2024-05-01,national,dovato,ex_1,0
2024-06-01,national,dovato,ex_1,0
