date,region,sub_brand,media,spend
2023-01-01,national,dovato,non_clm_call,184910
2023-02-01,national,dovato,non_clm_call,124630
2023-03-01,national,dovato,non_clm_call,156750
2023-04-01,national,dovato,non_clm_call,207680
2023-05-01,national,dovato,non_clm_call,205260
2023-06-01,national,dovato,non_clm_call,172810
2023-07-01,national,dovato,non_clm_call,206580
2023-08-01,national,dovato,non_clm_call,179520
2023-09-01,national,dovato,non_clm_call,185570
2023-10-01,national,dovato,non_clm_call,195800
2023-11-01,national,dovato,non_clm_call,187220
2023-12-01,national,dovato,non_clm_call,214830
2024-01-01,national,dovato,non_clm_call,198220
2024-02-01,national,dovato,non_clm_call,141570
2024-03-01,national,dovato,non_clm_call,194700
2024-04-01,national,dovato,non_clm_call,203060
2024-05-01,national,dovato,non_clm_call,1760
2024-06-01,national,dovato,non_clm_call,1100
2024-07-01,national,dovato,non_clm_call,1540
2024-08-01,national,dovato,non_clm_call,1430
2024-09-01,national,dovato,non_clm_call,11000
2024-10-01,national,dovato,non_clm_call,199100
2024-11-01,national,dovato,non_clm_call,196350
2024-12-01,national,dovato,non_clm_call,201410
2025-01-01,national,dovato,non_clm_call,204490
2025-02-01,national,dovato,non_clm_call,171050
2025-03-01,national,dovato,non_clm_call,205480
2025-04-01,national,dovato,non_clm_call,177540
2025-05-01,national,dovato,non_clm_call,124080
2025-06-01,national,dovato,non_clm_call,148940
2025-07-01,national,dovato,non_clm_call,110990
2025-08-01,national,dovato,non_clm_call,207680
2025-09-01,national,dovato,non_clm_call,169070
2023-01-01,national,dovato,clm_call,258060
2023-02-01,national,dovato,clm_call,288640
2023-03-01,national,dovato,clm_call,261030
2023-04-01,national,dovato,clm_call,288090
2023-05-01,national,dovato,clm_call,328460
2023-06-01,national,dovato,clm_call,284680
2023-07-01,national,dovato,clm_call,292270
2023-08-01,national,dovato,clm_call,266970
2023-09-01,national,dovato,clm_call,275660
2023-10-01,national,dovato,clm_call,294910
2023-11-01,national,dovato,clm_call,282700
2023-12-01,national,dovato,clm_call,304920
2024-01-01,national,dovato,clm_call,325490
2024-02-01,national,dovato,clm_call,246290
2024-03-01,national,dovato,clm_call,248820
2024-04-01,national,dovato,clm_call,256410
2024-05-01,national,dovato,clm_call,2200
2024-06-01,national,dovato,clm_call,2200
2024-07-01,national,dovato,clm_call,1980
2024-08-01,national,dovato,clm_call,10890
2024-09-01,national,dovato,clm_call,8690
2024-10-01,national,dovato,clm_call,297990
2024-11-01,national,dovato,clm_call,217910
2024-12-01,national,dovato,clm_call,238700
2025-01-01,national,dovato,clm_call,319880
2025-02-01,national,dovato,clm_call,217800
2025-03-01,national,dovato,clm_call,282260
2025-04-01,national,dovato,clm_call,188430
2025-05-01,national,dovato,clm_call,288530
2025-06-01,national,dovato,clm_call,217360
2025-07-01,national,dovato,clm_call,311410
2025-08-01,national,dovato,clm_call,273790
2025-09-01,national,dovato,clm_call,198110
2023-01-01,national,dovato,webinar,7200
2023-02-01,national,dovato,webinar,1650
2023-03-01,national,dovato,webinar,4950
2023-04-01,national,dovato,webinar,4200
2023-05-01,national,dovato,webinar,2400
2023-06-01,national,dovato,webinar,3600
2023-07-01,national,dovato,webinar,6000
2023-08-01,national,dovato,webinar,3600
2023-09-01,national,dovato,webinar,2550
2023-10-01,national,dovato,webinar,3450
2023-11-01,national,dovato,webinar,4650
2023-12-01,national,dovato,webinar,1950
2024-01-01,national,dovato,webinar,6900
2024-02-01,national,dovato,webinar,3300
2024-03-01,national,dovato,webinar,4650
2024-04-01,national,dovato,webinar,5850
2024-05-01,national,dovato,webinar,4050
2024-06-01,national,dovato,webinar,7350
2024-07-01,national,dovato,webinar,2100
2024-08-01,national,dovato,webinar,8100
2024-09-01,national,dovato,webinar,4050
2024-10-01,national,dovato,webinar,8850
2024-11-01,national,dovato,webinar,2850
2024-12-01,national,dovato,webinar,6300
2025-01-01,national,dovato,webinar,8700
2025-02-01,national,dovato,webinar,6600
2025-03-01,national,dovato,webinar,5700
2025-04-01,national,dovato,webinar,5700
2025-05-01,national,dovato,webinar,6150
2025-06-01,national,dovato,webinar,4650
2025-07-01,national,dovato,webinar,8250
2025-08-01,national,dovato,webinar,6600
2025-09-01,national,dovato,webinar,3750
2023-01-01,national,dovato,mass_email,5840.5
2023-02-01,national,dovato,mass_email,6729
2023-03-01,national,dovato,mass_email,6230
2023-04-01,national,dovato,mass_email,9942
2023-05-01,national,dovato,mass_email,6062
2023-06-01,national,dovato,mass_email,6916
2023-07-01,national,dovato,mass_email,9625
2023-08-01,national,dovato,mass_email,9015.5
2023-09-01,national,dovato,mass_email,7511
2023-10-01,national,dovato,mass_email,5888
2023-11-01,national,dovato,mass_email,7957.5
2023-12-01,national,dovato,mass_email,6861
2024-01-01,national,dovato,mass_email,5698.5
2024-02-01,national,dovato,mass_email,5274
2024-03-01,national,dovato,mass_email,8841
2024-04-01,national,dovato,mass_email,7945
2024-05-01,national,dovato,mass_email,7450
2024-06-01,national,dovato,mass_email,7795.5
2024-07-01,national,dovato,mass_email,7279
2024-08-01,national,dovato,mass_email,11211
2024-09-01,national,dovato,mass_email,7425
2024-10-01,national,dovato,mass_email,6417.5
2024-11-01,national,dovato,mass_email,5813.5
2024-12-01,national,dovato,mass_email,5890.5
2025-01-01,national,dovato,mass_email,6881.5
2025-02-01,national,dovato,mass_email,6548
2025-03-01,national,dovato,mass_email,7172.5
2025-04-01,national,dovato,mass_email,7797
2025-05-01,national,dovato,mass_email,8456.5
2025-06-01,national,dovato,mass_email,5986
2025-07-01,national,dovato,mass_email,7272.5
2025-08-01,national,dovato,mass_email,6822
2025-09-01,national,dovato,mass_email,6511.5
2023-01-01,national,dovato,email_1to1,350.5
2023-02-01,national,dovato,email_1to1,366.5
2023-03-01,national,dovato,email_1to1,414
2023-04-01,national,dovato,email_1to1,305.5
2023-05-01,national,dovato,email_1to1,418.5
2023-06-01,national,dovato,email_1to1,317
2023-07-01,national,dovato,email_1to1,286
2023-08-01,national,dovato,email_1to1,261.5
2023-09-01,national,dovato,email_1to1,315
2023-10-01,national,dovato,email_1to1,264.5
2023-11-01,national,dovato,email_1to1,446.5
2023-12-01,national,dovato,email_1to1,341.5
2024-01-01,national,dovato,email_1to1,298
2024-02-01,national,dovato,email_1to1,408
2024-03-01,national,dovato,email_1to1,400
2024-04-01,national,dovato,email_1to1,258
2024-05-01,national,dovato,email_1to1,278
2024-06-01,national,dovato,email_1to1,337.5
2024-07-01,national,dovato,email_1to1,412
2024-08-01,national,dovato,email_1to1,397.5
2024-09-01,national,dovato,email_1to1,418
2024-10-01,national,dovato,email_1to1,322.5
2024-11-01,national,dovato,email_1to1,330
2024-12-01,national,dovato,email_1to1,202.5
2025-01-01,national,dovato,email_1to1,348
2025-02-01,national,dovato,email_1to1,344.5
2025-03-01,national,dovato,email_1to1,344.5
2025-04-01,national,dovato,email_1to1,336.5
2025-05-01,national,dovato,email_1to1,340.5
2025-06-01,national,dovato,email_1to1,251
2025-07-01,national,dovato,email_1to1,466.5
2025-08-01,national,dovato,email_1to1,466
2025-09-01,national,dovato,email_1to1,422.5
2023-01-01,national,dovato,phone_call,230
2023-02-01,national,dovato,phone_call,280
2023-03-01,national,dovato,phone_call,200
2023-04-01,national,dovato,phone_call,230
2023-05-01,national,dovato,phone_call,110
2023-06-01,national,dovato,phone_call,270
2023-07-01,national,dovato,phone_call,160
2023-08-01,national,dovato,phone_call,120
2023-09-01,national,dovato,phone_call,110
2023-10-01,national,dovato,phone_call,170
2023-11-01,national,dovato,phone_call,180
2023-12-01,national,dovato,phone_call,220
2024-01-01,national,dovato,phone_call,120
2024-02-01,national,dovato,phone_call,240
2024-03-01,national,dovato,phone_call,190
2024-04-01,national,dovato,phone_call,280
2024-05-01,national,dovato,phone_call,130
2024-06-01,national,dovato,phone_call,230
2024-07-01,national,dovato,phone_call,260
2024-08-01,national,dovato,phone_call,5740
2024-09-01,national,dovato,phone_call,7100
2024-10-01,national,dovato,phone_call,5770
2024-11-01,national,dovato,phone_call,8000
2024-12-01,national,dovato,phone_call,7120
2025-01-01,national,dovato,phone_call,5990
2025-02-01,national,dovato,phone_call,5850
2025-03-01,national,dovato,phone_call,5340
2025-04-01,national,dovato,phone_call,7360
2025-05-01,national,dovato,phone_call,5440
2025-06-01,national,dovato,phone_call,5180
2025-07-01,national,dovato,phone_call,7820
2025-08-01,national,dovato,phone_call,6050
2025-09-01,national,dovato,phone_call,7650
