media,lag,retention
clm_call,0,1.0
clm_call,1,0.4048214835193679
clm_call,2,0.16388043351882187
clm_call,3,0.06634232021688662
clm_call,4,0.026856796490316994
clm_call,5,0.01087220819778788
clm_call,6,0.0044013034517599225
clm_call,7,0.0017817421927603667
clm_call,8,0.0007212875177223033
clm_call,9,0.0002919926829683452
clm_call,10,0.00011820491109604597
clm_call,11,4.7851887469176326e-05
clm_call,12,1.9371472074473813e-05
email_1to1,0,1.0
email_1to1,1,0.42108586195882863
email_1to1,2,0.17731330314160967
email_1to1,3,0.07466412509015179
email_1to1,4,0.03144000747098837
email_1to1,5,0.01323894264591315
email_1to1,6,0.005574731575477834
email_1to1,7,0.0023474406506491827
email_1to1,8,0.0009884740697758045
email_1to1,9,0.000416232455695496
email_1to1,10,0.00017526960238177787
email_1to1,11,7.38035515941121e-05
email_1to1,12,3.1077632138629576e-05
mass_email,0,1.0
mass_email,1,0.42309315816640775
mass_email,2,0.1790078204872249
mass_email,3,0.07573698410642538
mass_email,4,0.03204379979558654
mass_email,5,0.0135575124551668
mass_email,6,0.00573609076153693
mass_email,7,0.002426900755827815
mass_email,8,0.0010268051053396322
mass_email,9,0.00043443421483953595
mass_email,10,0.00018380614397200295
mass_email,11,7.776712194350415e-05
mass_email,12,3.290273722458932e-05
non_clm_call,0,1.0
non_clm_call,1,0.3946115682140171
non_clm_call,2,0.15571828976832588
non_clm_call,3,0.061448238525083805
non_clm_call,4,0.024248185768372302
non_clm_call,5,0.009568614612402207
non_clm_call,6,0.0037758860178355937
non_clm_call,7,0.0014900083028954838
non_clm_call,8,0.0005879745130574931
non_clm_call,9,0.00023202154466749042
non_clm_call,10,9.155838560067702e-05
non_clm_call,11,3.612999812502684e-05
non_clm_call,12,1.4257315219686339e-05
phone_call,0,1.0
phone_call,1,0.4233108700719029
phone_call,2,0.17919209272103143
phone_call,3,0.07585396067974491
phone_call,4,0.03210980609374273
phone_call,5,0.013592429955382323
phone_call,6,0.0057538233508042875
phone_call,7,0.0024356559688689947
phone_call,8,0.0010310396473777576
phone_call,9,0.00043645029021010655
phone_call,10,0.0001847541520919747
phone_call,11,7.820844087145049e-05
phone_call,12,3.3106483152260677e-05
webinar,0,1.0
webinar,1,0.42122860914811944
webinar,2,0.17743354116485918
webinar,3,0.07474008376109922
webinar,4,0.03148266153030178
webinar,5,0.013261397728690021
webinar,6,0.0055860801206161275
webinar,7,0.002353016759797091
webinar,8,0.0009911579770315432
webinar,9,0.00041750409611106064
webinar,10,0.00017586466971850485
webinar,11,7.40792302238192e-05
webinar,12,3.120429111394269e-05
