media,point_type,spend,exposure,revenue,roi,mroi
clm_call,current,7581530.0,522.1439393939394,54769699.32009298,-0.0001712778428844165,0.011140778560644916
clm_call,optimal_economic,1516306.0,104.42878787878787,54514292.11777143,-0.16928362267416508,0.1439043512807633
clm_call,diminishing_point,1516306.0,104.42878787878787,54514292.11777143,-0.16928362267416508,0.1439043512807633
email_1to1,current,11469.0,173.77272727272728,54770974.29975446,-0.0003179776330349565,0.020712519317738095
email_1to1,optimal_economic,2293.8,34.75454545454546,54770072.0088724,-0.39492617560592286,0.39660405846171937
email_1to1,diminishing_point,2293.8,34.75454545454546,54770072.0088724,-0.39492617560592286,0.39660405846171937
mass_email,current,239065.5,3622.2045454545455,54770976.00327379,-8.017671534914354e-06,0.0005222944235693874
mass_email,optimal_economic,47813.100000000006,724.4409090909091,54770495.09099123,-0.010097641499445534,0.010249884282003813
mass_email,diminishing_point,47813.100000000006,724.4409090909091,54770495.09099123,-0.010097641499445534,0.010249884282003813
non_clm_call,current,5092120.0,350.6969696969697,54769221.097114846,-0.00035039302222538343,0.022766523593398695
non_clm_call,optimal_economic,1018424.0,70.13939393939395,54466013.20971233,-0.29944765718568744,0.22865118917268662
non_clm_call,diminishing_point,1018424.0,70.13939393939395,54466013.20971233,-0.29944765718568744,0.22865118917268662
phone_call,current,94140.0,71.31818181818181,54770671.77452616,-0.003302518275676547,0.21463201704627166
phone_call,optimal_economic,40552.61538461539,30.721678321678326,54748516.25493894,-0.5538887043912871,0.8501353858397702
phone_call,diminishing_point,36207.69230769231,27.430069930069934,54744517.5010368,-0.7307946961197748,1.011584801799088
webinar,current,166650.0,8.416666666666666,54770226.93910609,-0.0045765679206439544,0.2976359802410294
webinar,optimal_economic,87170.76923076923,4.402564102564103,54730187.196018144,-0.46794005462852717,0.9180353788878985
webinar,diminishing_point,79479.23076923078,4.014102564102565,54722593.22362705,-0.6087712027237961,1.0751575146677048
